"date","new_cases"
"2022-01-01","51"
"2022-01-02","68"
"2022-01-03","38"
"2022-01-04","61"
"2022-01-05","20"
"2022-01-06","17"
"2022-01-07","42"
"2022-01-08","36"
"2022-01-09","19"
"2022-01-10","90"
"2022-01-11","46"
"2022-01-12","44"
"2022-01-13","63"
"2022-01-14","72"
"2022-01-15","64"
"2022-01-16","52"
"2022-01-17","31"
"2022-01-18","26"
"2022-01-19","52"
"2022-01-20","69"
"2022-01-21","41"
"2022-01-22","53"
"2022-01-23","19"
"2022-01-24","14"
"2022-01-25","37"
"2022-01-26","37"
"2022-01-27","14"
"2022-01-28","85"
"2022-01-29","54"
"2022-01-30","51"
"2022-01-31","66"
"2022-02-01","64"
"2022-02-02","63"
"2022-02-03","60"
"2022-02-04","28"
"2022-02-05","27"
"2022-02-06","47"
"2022-02-07","77"
"2022-02-08","50"
"2022-02-09","8"
"2022-02-10","1"
"2022-02-11","1"
"2022-02-12","1"
"2022-02-13","1"
"2022-02-14","1"
"2022-02-15","2"
"2022-02-16","2"
"2022-02-17","1"
"2022-02-18","0"
"2022-02-19","2"
"2022-02-20","2"
"2022-02-21","1"
"2022-02-22","0"
"2022-02-23","0"
"2022-02-24","1"
"2022-02-25","0"
"2022-02-26","2"
"2022-02-27","1"
"2022-02-28","2"
"2022-03-01","1"
"2022-03-02","2"
"2022-03-03","1"
"2022-03-04","2"
"2022-03-05","1"
"2022-03-06","3"
"2022-03-07","1"
"2022-03-08","312"
"2022-03-09","184"
"2022-03-10","109"
"2022-03-11","27"
"2022-03-12","82"
"2022-03-13","107"
"2022-03-14","26"
"2022-03-15","85"
"2022-03-16","71"
"2022-03-17","141"
"2022-03-18","220"
"2022-03-19","141"
"2022-03-20","191"
"2022-03-21","90"
"2022-03-22","42"
"2022-03-23","683"
"2022-03-24","839"
"2022-03-25","265"
"2022-03-26","171"
"2022-03-27","194"
"2022-03-28","131"
"2022-03-29","237"
"2022-03-30","198"
"2022-03-31","82"
"2022-04-01","78"
"2022-04-02","77"
"2022-04-03","76"
"2022-04-04","83"
"2022-04-05","301"
"2022-04-06","387"
"2022-04-07","387"
"2022-04-08","155"
"2022-04-09","61"
"2022-04-10","42"
"2022-04-11","217"
"2022-04-12","102"
"2022-04-13","98"
"2022-04-14","84"
"2022-04-15","186"
"2022-04-16","74"
"2022-04-17","47"
"2022-04-18","82"
"2022-04-19","90"
"2022-04-20","113"
"2022-04-21","73"
"2022-04-22","79"
"2022-04-23","65"
"2022-04-24","39"
"2022-04-25","63"
"2022-04-26","152"
"2022-04-27","160"
"2022-04-28","110"
"2022-04-29","24"
"2022-04-30","16"
"2022-05-01","14"
"2022-05-02","46"
"2022-05-03","20"
"2022-05-04","14"
"2022-05-05","13"
"2022-05-06","14"
"2022-05-07","11"
"2022-05-08","30"
"2022-05-09","36"
"2022-05-10","15"
"2022-05-11","10"
"2022-05-12","17"
"2022-05-13","9"
"2022-05-14","7"
"2022-05-15","6"
"2022-05-16","1"
"2022-05-17","6"
"2022-05-18","27"
"2022-05-19","14"
"2022-05-20","15"
"2022-05-21","8"
"2022-05-22","17"
"2022-05-23","13"
"2022-05-24","11"
"2022-05-25","10"
"2022-05-26","9"
"2022-05-27","2"
"2022-05-28","5"
"2022-05-29","8"
"2022-05-30","44"
"2022-05-31","33"
"2022-06-01","432"
"2022-06-02","91"
"2022-06-03","147"
"2022-06-04","131"
"2022-06-05","191"
"2022-06-06","262"
"2022-06-07","49"
"2022-06-08","243"
"2022-06-09","240"
"2022-06-10","127"
"2022-06-11","183"
"2022-06-12","230"
"2022-06-13","441"
"2022-06-14","449"
"2022-06-15","371"
"2022-06-16","193"
"2022-06-17","86"
"2022-06-18","25"
"2022-06-19","53"
"2022-06-20","37"
"2022-06-21","41"
"2022-06-22","51"
"2022-06-23","37"
"2022-06-24","19"
"2022-06-25","20"
"2022-06-26","18"
"2022-06-27","36"
"2022-06-28","56"
"2022-06-29","44"
"2022-06-30","47"
"2022-07-01","33"
"2022-07-02","13"
"2022-07-03","26"
"2022-07-04","43"
"2022-07-05","562"
"2022-07-06","1039"
"2022-07-07","284"
"2022-07-08","155"
"2022-07-09","52"
"2022-07-10","87"
"2022-07-11","121"
"2022-07-12","96"
"2022-07-13","81"
"2022-07-14","109"
"2022-07-15","65"
"2022-07-16","55"
"2022-07-17","65"
"2022-07-18","70"
"2022-07-19","85"
"2022-07-20","70"
"2022-07-21","49"
"2022-07-22","74"
"2022-07-23","60"
"2022-07-24","60"
"2022-07-25","107"
"2022-07-26","81"
"2022-07-27","123"
"2022-07-28","126"
"2022-07-29","82"
"2022-07-30","36"
"2022-07-31","57"
"2022-08-01","95"
"2022-08-02","67"
"2022-08-03","127"
"2022-08-04","51"
"2022-08-05","123"
"2022-08-06","71"
"2022-08-07","92"
"2022-08-08","149"
"2022-08-09","139"
"2022-08-10","108"
"2022-08-11","135"
"2022-08-12","208"
"2022-08-13","166"
"2022-08-14","193"
"2022-08-15","244"
"2022-08-16","171"
"2022-08-17","48"
"2022-08-18","139"
"2022-08-19","98"
"2022-08-20","73"
"2022-08-21","83"
"2022-08-22","103"
"2022-08-23","111"
"2022-08-24","164"
"2022-08-25","85"
"2022-08-26","70"
"2022-08-27","54"
"2022-08-28","71"
"2022-08-29","78"
"2022-08-30","78"
"2022-08-31","115"
"2022-09-01","121"
"2022-09-02","100"
"2022-09-03","80"
"2022-09-04","81"
"2022-09-05","168"
"2022-09-06","147"
"2022-09-07","127"
"2022-09-08","133"
"2022-09-09","135"
"2022-09-10","45"
"2022-09-11","44"
"2022-09-12","126"
"2022-09-13","96"
"2022-09-14","82"
"2022-09-15","99"
"2022-09-16","74"
"2022-09-17","63"
"2022-09-18","143"
"2022-09-19","113"
"2022-09-20","125"
"2022-09-21","128"
"2022-09-22","124"
"2022-09-23","79"
"2022-09-24","49"
"2022-09-25","105"
"2022-09-26","153"
"2022-09-27","883"
"2022-09-28","710"
"2022-09-29","439"
"2022-09-30","218"
"2022-10-01","199"
"2022-10-02","243"
"2022-10-03","274"
"2022-10-04","425"
"2022-10-05","415"
"2022-10-06","343"
"2022-10-07","255"
"2022-10-08","157"
"2022-10-09","266"
"2022-10-10","380"
"2022-10-11","110"
"2022-10-12","74"
"2022-10-13","149"
"2022-10-14","163"
"2022-10-15","158"
"2022-10-16","232"
"2022-10-17","294"
"2022-10-18","429"
"2022-10-19","600"
"2022-10-20","592"
"2022-10-21","511"
"2022-10-22","304"
"2022-10-23","368"
"2022-10-24","447"
"2022-10-25","386"
"2022-10-26","346"
"2022-10-27","359"
"2022-10-28","289"
"2022-10-29","236"
"2022-10-30","265"
"2022-10-31","364"
"2022-11-01","338"
"2022-11-02","364"
"2022-11-03","430"
"2022-11-04","324"
"2022-11-05","252"
"2022-11-06","317"
"2022-11-07","440"
"2022-11-08","395"
"2022-11-09","186"
"2022-11-10","220"
"2022-11-11","388"
"2022-11-12","152"
"2022-11-13","231"
"2022-11-14","197"
"2022-11-15","325"
"2022-11-16","263"
"2022-11-17","213"
"2022-11-18","199"
"2022-11-19","286"
"2022-11-20","264"
"2022-11-21","611"
"2022-11-22","673"
"2022-11-23","183"
"2022-11-24","127"
"2022-11-25","282"
"2022-11-26","250"
"2022-11-27","344"
"2022-11-28","290"
"2022-11-29","217"
"2022-11-30","205"
"2022-12-01","130"
"2022-12-02","216"
"2022-12-03","144"
"2022-12-04","158"
"2022-12-05","101"
"2022-12-06","358"
"2022-12-07","156"
"2022-12-08","97"
"2022-12-09","149"
"2022-12-10","289"
"2022-12-11","316"
"2022-12-12","123"
"2022-12-13","93"
"2022-12-14","131"
"2022-12-15","55"
"2022-12-16","126"
"2022-12-17","137"
"2022-12-18","87"
"2022-12-19","91"
"2022-12-20","101"
"2022-12-21","124"
"2022-12-22","87"
"2022-12-23","76"
"2022-12-24","37"
"2022-12-25","42"
"2022-12-26","64"
"2022-12-27","60"
"2022-12-28","50"
"2022-12-29","61"
"2022-12-30","53"
"2022-12-31","35"
