"week_start","instances"
"2023-03-06 00:00:00-05","430"
"2023-11-27 00:00:00-05","423"
"2023-10-02 00:00:00-04","418"
"2023-02-20 00:00:00-05","414"
"2023-12-11 00:00:00-05","410"
"2023-01-23 00:00:00-05","410"
"2023-07-24 00:00:00-04","408"
"2023-07-10 00:00:00-04","405"
"2023-08-28 00:00:00-04","405"
"2023-03-20 00:00:00-04","404"
"2023-01-30 00:00:00-05","403"
"2023-12-25 00:00:00-05","400"
"2023-01-09 00:00:00-05","399"
"2023-01-16 00:00:00-05","398"
"2023-08-21 00:00:00-04","398"
"2023-06-05 00:00:00-04","393"
"2023-05-01 00:00:00-04","392"
"2023-09-25 00:00:00-04","390"
"2023-10-16 00:00:00-04","388"
"2023-07-03 00:00:00-04","386"
"2023-09-04 00:00:00-04","385"
"2023-04-03 00:00:00-04","383"
"2023-12-18 00:00:00-05","381"
"2023-09-11 00:00:00-04","381"
"2023-07-17 00:00:00-04","380"
"2023-04-24 00:00:00-04","379"
"2023-05-15 00:00:00-04","379"
"2023-08-07 00:00:00-04","378"
"2023-11-13 00:00:00-05","376"
"2023-05-22 00:00:00-04","375"
"2023-04-17 00:00:00-04","373"
"2023-01-02 00:00:00-05","372"
"2023-09-18 00:00:00-04","372"
"2023-08-14 00:00:00-04","371"
"2023-04-10 00:00:00-04","371"
"2023-05-29 00:00:00-04","370"
"2023-02-13 00:00:00-05","370"
"2023-03-27 00:00:00-04","369"
"2023-03-13 00:00:00-04","367"
"2023-06-26 00:00:00-04","366"
"2023-02-27 00:00:00-05","366"
"2023-02-06 00:00:00-05","365"
"2023-06-19 00:00:00-04","363"
"2023-10-09 00:00:00-04","361"
"2023-11-06 00:00:00-05","356"
"2023-11-20 00:00:00-05","353"
"2023-12-04 00:00:00-05","349"
"2023-10-30 00:00:00-04","343"
"2023-07-31 00:00:00-04","338"
"2023-10-23 00:00:00-04","335"
"2023-06-12 00:00:00-04","335"
"2023-05-08 00:00:00-04","330"
"2022-12-26 00:00:00-05","70"
