"date","instances"
"2023-05-09","456"
"2023-12-22","437"
"2023-07-18","426"
"2023-07-17","425"
"2023-05-29","421"
"2023-03-30","418"
"2023-11-30","417"
"2023-07-26","417"
"2023-09-28","415"
"2023-05-24","409"
"2023-01-04","409"
"2023-01-26","402"
"2023-03-20","401"
"2023-10-11","399"
"2023-08-30","398"
"2023-04-18","394"
"2023-12-13","392"
"2023-07-05","392"
"2023-09-29","391"
"2023-12-31","390"
"2023-03-07","390"
"2023-01-18","390"
"2023-10-22","389"
"2023-03-12","389"
"2023-08-18","388"
"2023-03-06","384"
"2023-04-08","384"
"2023-07-22","384"
"2023-09-16","382"
"2023-06-02","380"
"2023-05-01","380"
"2023-12-14","377"
"2023-12-05","377"
"2023-02-14","376"
"2023-03-18","375"
"2023-11-11","375"
"2023-04-28","372"
"2023-11-26","371"
"2023-06-25","371"
"2023-11-17","371"
"2023-08-10","370"
"2023-04-25","370"
"2023-02-03","369"
"2023-05-14","368"
"2023-03-31","367"
"2023-11-03","366"
"2023-12-12","366"
"2023-01-11","365"
"2023-04-11","365"
"2023-04-12","365"
"2023-08-09","365"
"2023-08-14","364"
"2023-10-13","363"
"2023-11-02","361"
"2023-04-27","361"
"2023-01-10","361"
"2023-06-29","360"
"2023-07-08","358"
"2023-07-07","358"
"2023-05-28","358"
"2023-07-28","357"
"2023-12-25","356"
"2023-02-07","356"
"2023-01-12","356"
"2023-10-10","355"
"2023-04-10","355"
"2023-04-16","354"
"2023-11-06","354"
"2023-09-26","354"
"2023-11-14","353"
"2023-04-06","353"
"2023-01-29","353"
"2023-04-22","352"
"2023-12-15","351"
"2023-12-08","351"
"2023-12-01","351"
"2023-07-13","350"
"2023-09-23","350"
"2023-04-23","349"
"2023-10-09","348"
"2023-09-30","348"
"2023-05-18","347"
"2023-09-19","347"
"2023-07-24","346"
"2023-05-11","345"
"2023-09-06","345"
"2023-02-11","343"
"2023-02-10","342"
"2023-03-17","341"
"2023-08-11","341"
"2023-01-31","339"
"2023-01-03","339"
"2023-06-06","339"
"2023-10-28","338"
"2023-01-14","338"
"2023-11-07","338"
"2023-05-21","337"
"2023-01-30","336"
"2023-01-07","336"
"2023-08-03","336"
"2023-01-22","336"
"2023-08-17","335"
"2023-09-18","334"
"2023-09-05","334"
"2023-06-04","334"
"2023-03-01","334"
"2023-09-10","333"
"2023-06-28","333"
"2023-05-22","333"
"2023-08-04","333"
"2023-05-02","332"
"2023-09-12","332"
"2023-07-31","331"
"2023-09-25","330"
"2023-10-25","329"
"2023-10-20","329"
"2023-08-06","328"
"2023-07-21","328"
"2023-12-09","328"
"2023-06-03","328"
"2023-03-11","327"
"2023-03-21","327"
"2023-08-25","326"
"2023-09-07","326"
"2023-10-07","326"
"2023-11-21","325"
"2023-12-02","325"
"2023-02-28","324"
"2023-04-20","324"
"2023-06-27","322"
"2023-07-29","322"
"2023-11-12","322"
"2023-02-27","321"
"2023-08-13","321"
"2023-08-07","321"
"2023-09-14","321"
"2023-07-16","321"
"2023-11-05","320"
"2023-02-20","319"
"2023-02-02","319"
"2023-11-16","319"
"2023-07-25","319"
"2023-06-09","318"
"2023-03-29","318"
"2023-06-10","318"
"2023-10-30","317"
"2023-10-05","317"
"2023-05-10","317"
"2023-10-15","317"
"2023-08-12","317"
"2023-05-25","316"
"2023-02-24","316"
"2023-09-08","316"
"2023-08-20","316"
"2023-01-25","316"
"2023-01-15","316"
"2023-10-04","315"
"2023-07-02","314"
"2023-06-13","314"
"2023-10-24","313"
"2023-04-21","313"
"2023-10-29","312"
"2023-10-21","312"
"2023-12-21","312"
"2023-03-02","311"
"2023-05-27","311"
"2023-02-09","311"
"2023-08-01","311"
"2023-05-30","311"
"2023-10-23","311"
"2023-05-12","311"
"2023-07-15","310"
"2023-02-25","309"
"2023-09-24","308"
"2023-12-16","308"
"2023-06-21","308"
"2023-01-06","308"
"2023-11-19","307"
"2023-01-16","306"
"2023-05-26","306"
"2023-12-10","305"
"2023-03-13","305"
"2023-10-17","303"
"2023-09-04","303"
"2023-12-27","303"
"2023-03-03","302"
"2023-11-22","302"
"2023-06-05","301"
"2023-04-04","300"
"2023-06-17","300"
"2023-06-23","300"
"2023-02-06","299"
"2023-02-01","299"
"2023-06-11","297"
"2023-03-28","297"
"2023-06-15","297"
"2023-06-30","297"
"2023-07-20","296"
"2023-07-10","296"
"2023-07-27","296"
"2023-05-03","296"
"2023-04-05","295"
"2023-06-07","295"
"2023-10-12","295"
"2023-01-21","295"
"2023-12-20","294"
"2023-05-20","294"
"2023-02-12","294"
"2023-08-29","293"
"2023-05-16","293"
"2023-11-08","293"
"2023-03-24","293"
"2023-09-01","293"
"2023-04-19","293"
"2023-04-26","292"
"2023-04-13","292"
"2023-05-19","292"
"2023-08-28","291"
"2023-02-16","291"
"2023-06-12","291"
"2023-05-15","290"
"2023-04-09","290"
"2023-01-13","290"
"2023-05-05","289"
"2023-12-26","289"
"2023-06-19","289"
"2023-02-21","289"
"2023-03-09","289"
"2023-03-05","288"
"2023-02-26","288"
"2023-10-01","288"
"2023-08-27","286"
"2023-02-19","286"
"2023-09-27","285"
"2023-10-06","285"
"2023-08-26","284"
"2023-03-04","284"
"2023-04-02","283"
"2023-06-08","282"
"2023-09-03","282"
"2023-11-28","281"
"2023-11-04","281"
"2023-05-06","280"
"2023-11-20","280"
"2023-06-01","280"
"2023-06-24","279"
"2023-05-23","279"
"2023-07-06","279"
"2023-12-07","277"
"2023-10-03","276"
"2023-08-31","276"
"2023-01-17","275"
"2023-08-16","275"
"2023-08-22","274"
"2023-04-17","274"
"2023-10-27","273"
"2023-02-18","273"
"2023-08-15","273"
"2023-07-04","273"
"2023-12-28","271"
"2023-11-18","271"
"2023-08-24","270"
"2023-02-23","269"
"2023-01-09","269"
"2023-12-30","269"
