"week_start","instances"
"2023-09-25 00:00:00-04","2411"
"2023-07-17 00:00:00-04","2358"
"2023-10-09 00:00:00-04","2337"
"2023-05-22 00:00:00-04","2312"
"2023-12-11 00:00:00-05","2301"
"2023-04-17 00:00:00-04","2299"
"2023-01-09 00:00:00-05","2295"
"2023-07-24 00:00:00-04","2283"
"2023-08-07 00:00:00-04","2275"
"2023-03-06 00:00:00-05","2251"
"2023-05-08 00:00:00-04","2249"
"2023-04-10 00:00:00-04","2229"
"2023-05-29 00:00:00-04","2229"
"2023-09-04 00:00:00-04","2224"
"2023-08-14 00:00:00-04","2197"
"2023-02-06 00:00:00-05","2185"
"2023-02-27 00:00:00-05","2164"
"2023-03-27 00:00:00-04","2160"
"2023-01-30 00:00:00-05","2157"
"2023-07-03 00:00:00-04","2154"
"2023-06-05 00:00:00-04","2150"
"2023-01-02 00:00:00-05","2145"
"2023-07-31 00:00:00-04","2141"
"2023-01-16 00:00:00-05","2140"
"2023-04-24 00:00:00-04","2136"
"2023-10-23 00:00:00-04","2133"
"2023-12-25 00:00:00-05","2131"
"2023-12-04 00:00:00-05","2128"
"2023-04-03 00:00:00-04","2124"
"2023-11-13 00:00:00-05","2118"
"2023-05-15 00:00:00-04","2117"
"2023-10-30 00:00:00-04","2112"
"2023-06-26 00:00:00-04","2100"
"2023-11-06 00:00:00-05","2082"
"2023-11-27 00:00:00-05","2077"
"2023-10-16 00:00:00-04","2075"
"2023-05-01 00:00:00-04","2060"
"2023-07-10 00:00:00-04","2057"
"2023-09-18 00:00:00-04","2052"
"2023-03-13 00:00:00-04","2051"
"2023-02-20 00:00:00-05","2048"
"2023-08-28 00:00:00-04","2035"
"2023-06-19 00:00:00-04","2026"
"2023-02-13 00:00:00-05","1986"
"2023-10-02 00:00:00-04","1970"
"2023-06-12 00:00:00-04","1959"
"2023-12-18 00:00:00-05","1954"
"2023-08-21 00:00:00-04","1949"
"2023-03-20 00:00:00-04","1943"
"2023-11-20 00:00:00-05","1929"
"2023-01-23 00:00:00-05","1916"
"2023-09-11 00:00:00-04","1889"
"2022-12-26 00:00:00-05","267"
