"week_start","instances"
"2023-04-03 00:00:00-04","196"
"2023-01-23 00:00:00-05","185"
"2023-01-02 00:00:00-05","179"
"2023-07-03 00:00:00-04","176"
"2023-02-20 00:00:00-05","175"
"2023-02-06 00:00:00-05","173"
"2023-08-14 00:00:00-04","172"
"2023-09-25 00:00:00-04","172"
"2023-11-13 00:00:00-05","171"
"2023-07-17 00:00:00-04","170"
"2023-05-22 00:00:00-04","170"
"2023-12-11 00:00:00-05","169"
"2023-02-27 00:00:00-05","169"
"2023-04-10 00:00:00-04","169"
"2023-07-31 00:00:00-04","169"
"2023-05-15 00:00:00-04","169"
"2023-01-30 00:00:00-05","168"
"2023-09-18 00:00:00-04","168"
"2023-08-21 00:00:00-04","167"
"2023-11-06 00:00:00-05","167"
"2023-10-23 00:00:00-04","166"
"2023-07-24 00:00:00-04","166"
"2023-02-13 00:00:00-05","164"
"2023-03-27 00:00:00-04","164"
"2023-10-30 00:00:00-04","164"
"2023-10-02 00:00:00-04","164"
"2023-06-19 00:00:00-04","163"
"2023-10-16 00:00:00-04","163"
"2023-01-09 00:00:00-05","161"
"2023-12-04 00:00:00-05","161"
"2023-06-12 00:00:00-04","161"
"2023-03-06 00:00:00-05","159"
"2023-01-16 00:00:00-05","159"
"2023-04-24 00:00:00-04","158"
"2023-05-01 00:00:00-04","157"
"2023-09-11 00:00:00-04","155"
"2023-11-20 00:00:00-05","155"
"2023-03-20 00:00:00-04","154"
"2023-05-08 00:00:00-04","153"
"2023-03-13 00:00:00-04","153"
"2023-07-10 00:00:00-04","150"
"2023-06-05 00:00:00-04","148"
"2023-08-07 00:00:00-04","148"
"2023-09-04 00:00:00-04","148"
"2023-04-17 00:00:00-04","148"
"2023-06-26 00:00:00-04","148"
"2023-08-28 00:00:00-04","147"
"2023-12-25 00:00:00-05","147"
"2023-05-29 00:00:00-04","145"
"2023-12-18 00:00:00-05","145"
"2023-10-09 00:00:00-04","142"
"2023-11-27 00:00:00-05","138"
"2022-12-26 00:00:00-05","19"
