"date","instances"
"2023-03-24","21"
"2023-07-16","20"
"2023-01-13","20"
"2023-04-16","19"
"2023-07-10","19"
"2023-05-09","19"
"2023-08-31","19"
"2023-05-14","19"
"2023-10-31","19"
"2023-06-10","19"
"2023-07-25","19"
"2023-03-10","19"
"2023-11-23","18"
"2023-12-02","18"
"2023-08-19","18"
"2023-10-23","18"
"2023-01-08","18"
"2023-10-27","18"
"2023-02-22","18"
"2023-02-14","18"
"2023-03-09","18"
"2023-12-19","18"
"2023-07-12","18"
"2023-10-01","18"
"2023-02-11","18"
"2023-04-01","18"
"2023-05-01","17"
"2023-02-20","17"
"2023-08-08","17"
"2023-09-10","17"
"2023-10-11","17"
"2023-08-10","17"
"2023-10-02","17"
"2023-05-08","17"
"2023-05-03","17"
"2023-04-19","17"
"2023-12-16","17"
"2023-07-13","17"
"2023-11-15","16"
"2023-11-22","16"
"2023-05-28","16"
"2023-03-31","16"
"2023-03-05","16"
"2023-05-22","16"
"2023-10-22","16"
"2023-07-11","16"
"2023-05-25","16"
"2023-07-04","16"
"2023-06-17","16"
"2023-04-13","16"
"2023-04-10","16"
"2023-12-08","16"
"2023-09-23","16"
"2023-01-27","16"
"2023-01-03","16"
"2023-12-07","16"
"2023-10-21","16"
"2023-03-03","16"
"2023-03-21","16"
"2023-09-24","16"
"2023-10-19","16"
"2023-12-13","16"
"2023-12-06","16"
"2023-06-08","15"
"2023-01-22","15"
"2023-06-05","15"
"2023-12-09","15"
"2023-07-02","15"
"2023-09-12","15"
"2023-05-21","15"
"2023-06-16","15"
"2023-03-12","15"
"2023-05-31","15"
"2023-06-28","15"
"2023-10-28","15"
"2023-12-17","15"
"2023-04-25","15"
"2023-12-30","15"
"2023-03-19","15"
"2023-02-06","15"
"2023-11-28","15"
"2023-11-30","15"
"2023-07-17","15"
"2023-10-09","15"
"2023-08-05","15"
"2023-08-30","15"
"2023-02-26","15"
"2023-02-08","15"
"2023-01-20","15"
"2023-01-01","15"
"2023-12-31","15"
"2023-05-20","15"
"2023-02-05","15"
"2023-11-07","15"
"2023-12-24","15"
"2023-09-19","15"
"2023-10-15","14"
"2023-04-03","14"
"2023-06-30","14"
"2023-05-19","14"
"2023-12-10","14"
"2023-08-27","14"
"2023-12-20","14"
"2023-07-27","14"
"2023-04-17","14"
"2023-07-05","14"
"2023-05-11","14"
"2023-11-14","14"
"2023-02-02","14"
"2023-01-26","14"
"2023-02-12","14"
"2023-09-08","14"
"2023-09-15","14"
"2023-08-11","14"
"2023-11-10","14"
"2023-07-22","14"
"2023-01-15","14"
"2023-08-09","14"
