"date","instances"
"2023-11-21","60"
"2023-10-08","56"
"2023-01-17","54"
"2023-09-08","53"
"2023-08-18","53"
"2023-04-17","53"
"2023-02-03","52"
"2023-10-23","51"
"2023-11-10","51"
"2023-06-27","51"
"2023-06-19","51"
"2023-10-04","51"
"2023-07-29","51"
"2023-03-05","51"
"2023-02-16","50"
"2023-03-29","50"
"2023-10-26","50"
"2023-09-09","49"
"2023-09-17","49"
"2023-01-22","49"
"2023-11-04","49"
"2023-07-19","49"
"2023-10-21","49"
"2023-07-23","49"
"2023-02-01","49"
"2023-12-15","49"
"2023-08-02","48"
"2023-04-04","48"
"2023-10-10","48"
"2023-04-21","48"
"2023-04-11","48"
"2023-08-07","48"
"2023-12-19","48"
"2023-01-12","48"
"2023-03-21","47"
"2023-11-18","47"
"2023-11-07","47"
"2023-06-13","47"
"2023-12-09","47"
"2023-03-13","47"
"2023-01-04","47"
"2023-12-30","47"
"2023-03-10","47"
"2023-09-23","47"
"2023-03-22","47"
"2023-09-21","47"
"2023-10-25","47"
"2023-08-28","47"
"2023-06-28","46"
"2023-07-26","46"
"2023-02-21","46"
"2023-08-29","46"
"2023-10-30","46"
"2023-08-27","46"
"2023-11-15","46"
"2023-12-06","46"
"2023-04-28","46"
"2023-08-31","45"
"2023-12-12","45"
"2023-12-11","45"
"2023-03-25","45"
"2023-05-20","45"
"2023-03-17","45"
"2023-08-30","45"
"2023-05-29","45"
"2023-06-15","45"
"2023-02-18","45"
"2023-04-15","45"
"2023-01-14","44"
"2023-03-27","44"
"2023-10-18","44"
"2023-05-30","44"
"2023-12-14","44"
"2023-08-22","44"
"2023-04-03","44"
"2023-04-06","44"
"2023-10-03","44"
"2023-03-07","44"
"2023-01-01","44"
"2023-03-18","44"
"2023-06-26","44"
"2023-01-21","44"
"2023-08-04","43"
"2023-03-26","43"
"2023-11-19","43"
"2023-12-04","43"
"2023-03-30","43"
"2023-10-12","43"
"2023-05-31","43"
"2023-03-12","43"
"2023-07-17","43"
"2023-12-13","43"
"2023-02-11","42"
"2023-04-01","42"
"2023-04-12","42"
"2023-11-14","42"
"2023-02-10","42"
"2023-02-24","42"
"2023-04-23","42"
"2023-08-12","42"
"2023-07-18","42"
"2023-10-27","42"
"2023-08-19","42"
"2023-11-23","42"
"2023-04-20","42"
"2023-06-09","42"
"2023-12-27","41"
"2023-07-27","41"
"2023-12-20","41"
"2023-09-19","41"
"2023-08-08","41"
"2023-05-13","41"
"2023-05-26","41"
"2023-09-07","41"
"2023-04-09","41"
"2023-02-22","41"
"2023-05-15","41"
"2023-06-02","41"
"2023-07-13","41"
"2023-09-02","41"
"2023-03-06","41"
"2023-12-24","41"
"2023-01-06","41"
"2023-09-11","41"
"2023-01-31","41"
"2023-03-31","41"
"2023-06-29","41"
"2023-10-11","41"
"2023-03-15","41"
"2023-06-21","41"
"2023-10-02","41"
"2023-04-22","41"
"2023-05-05","41"
"2023-08-13","41"
"2023-05-11","41"
"2023-01-24","40"
"2023-03-14","40"
"2023-12-02","40"
"2023-03-08","40"
"2023-06-03","40"
"2023-12-01","40"
"2023-11-29","40"
"2023-08-10","40"
"2023-09-04","40"
"2023-04-30","40"
"2023-04-29","40"
"2023-10-16","40"
"2023-07-05","40"
"2023-01-15","40"
"2023-07-08","40"
"2023-09-30","40"
"2023-05-03","40"
"2023-08-17","40"
"2023-12-25","40"
"2023-09-27","40"
"2023-06-08","40"
"2023-03-02","39"
"2023-04-07","39"
"2023-11-28","39"
"2023-10-06","39"
"2023-02-02","39"
"2023-08-21","39"
"2023-08-26","39"
"2023-02-14","39"
"2023-09-01","39"
"2023-07-06","39"
"2023-06-11","39"
"2023-11-05","39"
"2023-12-07","39"
"2023-05-14","39"
"2023-10-17","38"
"2023-01-09","38"
"2023-01-02","38"
"2023-11-03","38"
"2023-12-18","38"
"2023-05-01","38"
"2023-07-07","38"
"2023-06-23","38"
"2023-02-20","38"
"2023-08-01","38"
"2023-11-08","38"
"2023-07-10","38"
"2023-09-28","38"
"2023-10-28","38"
"2023-03-03","38"
"2023-07-22","38"
"2023-07-30","38"
"2023-04-14","38"
"2023-12-03","38"
"2023-10-01","38"
"2023-08-03","38"
"2023-01-26","38"
"2023-08-05","38"
"2023-05-17","38"
"2023-11-20","37"
"2023-03-09","37"
"2023-12-10","37"
"2023-01-16","37"
"2023-12-08","37"
"2023-11-26","37"
"2023-11-12","37"
"2023-02-08","37"
"2023-03-24","37"
"2023-09-25","37"
"2023-01-08","37"
"2023-05-02","37"
"2023-10-09","37"
"2023-08-16","37"
"2023-09-06","37"
"2023-08-15","37"
"2023-02-26","36"
"2023-10-05","36"
"2023-09-20","36"
"2023-02-23","36"
"2023-11-09","36"
"2023-05-18","36"
"2023-01-23","36"
"2023-01-11","36"
"2023-09-18","36"
"2023-03-23","36"
"2023-07-09","36"
"2023-06-14","36"
"2023-12-16","36"
"2023-04-13","36"
"2023-10-13","36"
"2023-11-22","36"
"2023-09-14","36"
"2023-06-12","35"
"2023-11-01","35"
"2023-01-20","35"
"2023-01-25","35"
"2023-01-27","35"
"2023-03-04","35"
"2023-02-19","35"
"2023-05-28","35"
"2023-08-06","35"
"2023-10-22","35"
"2023-04-02","35"
"2023-04-05","35"
"2023-12-26","35"
"2023-08-25","35"
"2023-04-16","35"
"2023-02-13","34"
"2023-05-04","34"
"2023-01-19","34"
"2023-06-05","34"
"2023-09-05","34"
"2023-11-25","34"
"2023-11-13","34"
"2023-12-28","34"
"2023-09-15","34"
"2023-04-10","34"
"2023-12-31","34"
"2023-11-30","34"
"2023-05-24","34"
"2023-08-23","34"
"2023-02-07","34"
"2023-02-05","34"
"2023-07-15","34"
"2023-03-11","34"
"2023-06-18","34"
"2023-01-30","34"
"2023-05-07","34"
"2023-07-20","33"
"2023-04-24","33"
"2023-02-28","33"
"2023-07-04","33"
"2023-11-02","33"
"2023-07-14","33"
"2023-11-16","33"
"2023-11-24","33"
"2023-05-08","33"
"2023-07-11","33"
"2023-07-31","33"
"2023-04-27","33"
"2023-11-11","33"
"2023-06-07","33"
"2023-01-18","33"
"2023-05-23","33"
"2023-03-20","33"
"2023-12-05","33"
"2023-03-16","33"
"2023-10-29","33"
"2023-07-01","32"
"2023-06-22","32"
"2023-02-12","32"
"2023-07-02","32"
"2023-05-19","32"
"2023-09-26","32"
"2023-07-03","32"
"2023-11-27","32"
"2023-04-26","32"
"2023-10-07","32"
"2023-04-08","32"
"2023-10-31","32"
"2023-09-22","32"
"2023-03-01","32"
"2023-10-19","32"
"2023-06-04","32"
"2023-06-30","32"
"2023-09-29","31"
"2023-11-17","31"
"2023-09-03","31"
"2023-10-20","31"
"2023-03-28","31"
"2023-06-20","31"
"2023-06-10","31"
"2023-07-16","31"
"2023-09-16","31"
"2023-06-06","31"
"2023-05-10","31"
"2023-05-27","31"
"2023-09-10","30"
"2023-06-01","30"
"2023-10-24","30"
"2023-07-25","30"
"2023-05-12","30"
"2023-08-11","30"
"2023-04-25","30"
"2023-05-06","30"
"2023-04-19","29"
"2023-02-04","29"
"2023-05-21","29"
"2023-12-17","29"
"2023-07-28","29"
"2023-06-17","29"
"2023-08-09","29"
"2023-10-14","28"
"2023-10-15","28"
"2023-12-22","28"
"2023-05-25","28"
"2023-08-24","28"
"2023-12-23","27"
"2023-01-03","27"
"2023-05-09","27"
"2023-02-27","27"
"2023-01-28","27"
"2023-06-24","27"
"2023-02-17","27"
"2023-01-10","27"
"2023-01-07","27"
"2023-12-21","27"
"2023-07-12","27"
"2023-07-21","27"
"2023-02-06","27"
"2023-12-29","26"
"2023-11-06","26"
"2023-09-24","26"
"2023-05-16","26"
"2023-02-25","26"
"2023-02-15","25"
"2023-02-09","25"
"2023-01-05","25"
"2023-09-13","25"
"2023-06-16","24"
"2023-08-20","24"
"2023-09-12","24"
"2023-06-25","23"
"2023-04-18","23"
"2023-01-13","22"
"2023-03-19","21"
"2023-08-14","21"
"2023-07-24","20"
"2023-05-22","19"
"2023-01-29","18"
