"week_start","instances"
"2023-10-02 00:00:00-04","299"
"2023-08-28 00:00:00-04","294"
"2023-10-23 00:00:00-04","291"
"2023-12-11 00:00:00-05","291"
"2023-03-20 00:00:00-04","288"
"2023-01-16 00:00:00-05","286"
"2023-03-06 00:00:00-05","286"
"2023-03-27 00:00:00-04","286"
"2023-09-04 00:00:00-04","284"
"2023-04-03 00:00:00-04","283"
"2023-12-04 00:00:00-05","282"
"2023-07-17 00:00:00-04","281"
"2023-11-20 00:00:00-05","279"
"2023-01-30 00:00:00-05","278"
"2023-04-17 00:00:00-04","278"
"2023-06-26 00:00:00-04","278"
"2023-04-10 00:00:00-04","278"
"2023-11-13 00:00:00-05","276"
"2023-05-29 00:00:00-04","275"
"2023-07-31 00:00:00-04","273"
"2023-10-30 00:00:00-04","272"
"2023-03-13 00:00:00-04","271"
"2023-08-07 00:00:00-04","271"
"2023-10-16 00:00:00-04","269"
"2023-11-06 00:00:00-05","268"
"2023-09-18 00:00:00-04","265"
"2023-08-21 00:00:00-04","265"
"2023-02-20 00:00:00-05","265"
"2023-11-27 00:00:00-05","263"
"2023-10-09 00:00:00-04","261"
"2023-07-03 00:00:00-04","258"
"2023-12-25 00:00:00-05","257"
"2023-09-25 00:00:00-04","256"
"2023-01-09 00:00:00-05","255"
"2023-02-27 00:00:00-05","255"
"2023-07-24 00:00:00-04","255"
"2023-02-13 00:00:00-05","255"
"2023-05-01 00:00:00-04","254"
"2023-04-24 00:00:00-04","254"
"2023-08-14 00:00:00-04","254"
"2023-12-18 00:00:00-05","250"
"2023-06-12 00:00:00-04","250"
"2023-06-05 00:00:00-04","250"
"2023-05-15 00:00:00-04","247"
"2023-06-19 00:00:00-04","243"
"2023-05-08 00:00:00-04","242"
"2023-01-02 00:00:00-05","242"
"2023-09-11 00:00:00-04","240"
"2023-02-06 00:00:00-05","239"
"2023-07-10 00:00:00-04","237"
"2023-01-23 00:00:00-05","229"
"2023-05-22 00:00:00-04","221"
"2022-12-26 00:00:00-05","44"
