"topic","total_interactions"
"total_already_submitted_application","42902"
"total_any_other_enquires","26487"
"total_return_to_main_menu","17538"
"total_connection_with_agent","14288"
"total_how_to_check_the_status","10802"
"total_status_of_ticket_application","10501"
"total_how_to_complete_or_submit_an_application","10119"
"total_household_restrictions","5753"
"total_information_about_ticket_sales","5547"
"total_payment_methods","3825"
"total_cancellation_and_resale","3437"
"total_health_and_safety_measures","3311"
"total_fan_id","3303"
"total_legal_documents","3269"
"total_matches","3223"
"total_types_of_accessibility_tickets","1284"
"total_online_process","1274"
"total_the_personal_details","1272"
"total_other_information_for_the_process","1253"
"total_ticket_application_process","1245"
"total_ticket_products","940"
"total_ticket_categories","930"
"total_ticket_prices","923"
"total_sales_phases","904"
"total_confirmed_tickets","892"
