"date","instances"
"2023-08-18","523"
"2023-07-17","517"
"2023-12-22","516"
"2023-01-26","516"
"2023-05-09","516"
"2023-07-18","506"
"2023-03-30","505"
"2023-07-26","503"
"2023-04-08","503"
"2023-05-29","500"
"2023-09-28","498"
"2023-08-30","496"
"2023-01-04","496"
"2023-11-30","495"
"2023-01-18","495"
"2023-02-14","493"
"2023-12-12","492"
"2023-10-11","486"
"2023-07-05","483"
"2023-12-13","481"
"2023-03-20","480"
"2023-03-07","476"
"2023-03-21","475"
"2023-03-06","475"
"2023-03-12","475"
"2023-12-15","474"
"2023-03-18","474"
"2023-04-22","472"
"2023-05-01","472"
"2023-07-22","471"
"2023-05-24","471"
"2023-12-05","471"
"2023-10-22","470"
"2023-06-25","470"
"2023-03-31","469"
"2023-10-10","468"
"2023-01-12","468"
"2023-08-10","466"
"2023-12-14","465"
"2023-09-23","463"
"2023-04-18","462"
"2023-02-03","461"
"2023-06-02","460"
"2023-12-31","457"
"2023-08-09","457"
"2023-04-10","457"
"2023-04-28","456"
"2023-01-11","455"
"2023-10-09","455"
"2023-09-26","454"
"2023-07-13","453"
"2023-12-08","452"
"2023-10-13","451"
"2023-04-11","451"
"2023-09-16","451"
"2023-02-28","450"
"2023-02-10","450"
"2023-01-22","450"
"2023-10-20","450"
"2023-11-26","449"
"2023-04-06","448"
"2023-11-03","448"
"2023-12-01","448"
"2023-07-28","447"
"2023-12-02","446"
"2023-02-02","446"
"2023-04-16","445"
"2023-04-12","445"
"2023-04-25","445"
"2023-02-07","445"
"2023-11-02","444"
"2023-05-28","444"
"2023-02-11","444"
"2023-11-14","443"
"2023-04-21","442"
"2023-11-11","441"
"2023-09-30","441"
"2023-09-29","440"
"2023-03-29","440"
"2023-06-10","440"
"2023-07-07","440"
"2023-05-11","439"
"2023-11-17","439"
"2023-09-25","439"
"2023-09-07","438"
"2023-06-29","438"
"2023-02-01","438"
"2023-07-21","438"
"2023-02-20","437"
"2023-07-08","437"
"2023-10-23","437"
"2023-08-29","437"
"2023-01-29","436"
"2023-11-07","436"
"2023-04-04","436"
"2023-04-27","436"
"2023-09-19","435"
"2023-01-15","434"
"2023-01-10","434"
"2023-03-17","434"
"2023-08-03","433"
"2023-03-11","433"
"2023-05-14","433"
"2023-03-03","433"
"2023-10-04","432"
"2023-09-05","432"
"2023-01-31","432"
"2023-08-04","432"
"2023-08-11","431"
"2023-09-14","431"
"2023-10-30","431"
"2023-10-07","431"
"2023-07-24","431"
"2023-01-14","430"
"2023-12-25","430"
"2023-04-23","429"
"2023-07-31","427"
"2023-05-21","427"
"2023-09-12","426"
"2023-05-02","425"
"2023-01-30","425"
"2023-07-20","425"
"2023-11-05","425"
"2023-11-12","424"
"2023-12-21","424"
"2023-02-18","423"
"2023-12-09","423"
"2023-05-22","423"
"2023-11-21","422"
"2023-05-12","422"
"2023-08-13","422"
"2023-09-06","421"
"2023-05-26","420"
"2023-06-03","420"
"2023-08-14","419"
"2023-01-17","418"
"2023-05-20","417"
"2023-12-30","417"
"2023-12-16","417"
"2023-07-27","416"
"2023-07-29","416"
"2023-10-25","416"
"2023-10-28","416"
"2023-09-08","416"
"2023-02-21","414"
"2023-01-06","414"
"2023-08-27","414"
"2023-02-06","413"
"2023-06-06","413"
"2023-08-12","413"
"2023-08-26","413"
"2023-09-01","413"
"2023-06-09","412"
"2023-06-28","412"
"2023-02-12","412"
"2023-07-15","411"
"2023-02-24","411"
"2023-10-15","410"
"2023-07-25","410"
"2023-06-04","409"
"2023-11-06","409"
"2023-06-13","409"
"2023-08-01","409"
"2023-03-09","409"
"2023-05-18","408"
"2023-12-20","408"
"2023-07-16","407"
"2023-02-25","406"
"2023-03-01","406"
"2023-01-07","406"
"2023-05-30","405"
"2023-12-27","405"
"2023-04-05","404"
"2023-11-22","404"
"2023-01-16","404"
"2023-01-25","404"
"2023-12-10","403"
"2023-04-20","403"
"2023-02-22","402"
"2023-06-23","402"
"2023-01-03","402"
"2023-04-13","402"
"2023-05-03","401"
"2023-06-21","401"
"2023-07-10","401"
"2023-09-18","400"
"2023-03-13","400"
"2023-10-03","399"
"2023-10-21","399"
"2023-11-16","399"
"2023-05-25","399"
"2023-07-02","399"
"2023-01-13","399"
"2023-05-05","399"
"2023-01-01","398"
"2023-10-05","398"
"2023-10-27","397"
"2023-08-16","397"
"2023-04-17","397"
"2023-02-09","396"
"2023-10-06","396"
"2023-08-07","396"
"2023-06-15","396"
"2023-02-27","396"
"2023-09-24","396"
"2023-08-17","396"
"2023-07-06","395"
"2023-08-25","395"
"2023-05-10","395"
"2023-10-18","394"
"2023-04-19","393"
"2023-03-28","393"
"2023-08-28","393"
"2023-03-27","392"
"2023-03-05","392"
"2023-12-04","392"
"2023-05-17","392"
"2023-06-08","391"
"2023-09-09","391"
"2023-08-06","388"
"2023-01-21","388"
"2023-11-19","387"
"2023-09-10","387"
"2023-09-04","386"
"2023-03-02","386"
"2023-02-16","386"
"2023-11-18","385"
"2023-05-27","385"
"2023-01-02","385"
"2023-05-15","384"
"2023-10-26","384"
"2023-11-08","384"
"2023-06-07","384"
"2023-06-05","384"
"2023-04-09","383"
"2023-06-19","383"
"2023-10-29","383"
"2023-06-27","383"
"2023-01-24","382"
"2023-10-12","382"
"2023-06-12","382"
"2023-05-19","381"
"2023-12-17","381"
"2023-07-04","381"
"2023-12-26","381"
"2023-02-23","380"
"2023-11-28","380"
"2023-06-17","380"
"2023-09-27","380"
"2023-08-19","379"
"2023-03-16","379"
"2023-05-16","379"
"2023-08-24","378"
"2023-08-20","378"
"2023-10-24","377"
"2023-10-17","377"
"2023-02-26","376"
"2023-03-24","376"
"2023-08-22","375"
"2023-07-12","375"
"2023-06-30","375"
"2023-07-11","374"
"2023-09-03","374"
"2023-10-01","372"
"2023-07-23","372"
"2023-03-10","372"
"2023-04-02","372"
"2023-01-05","371"
"2023-05-23","371"
"2023-04-26","371"
"2023-09-21","371"
"2023-07-01","371"
"2023-12-24","370"
"2023-07-19","370"
"2023-07-09","370"
"2023-08-23","369"
"2023-04-24","369"
"2023-11-29","369"
"2023-04-03","368"
"2023-08-15","367"
"2023-06-11","366"
"2023-12-29","366"
"2023-11-04","366"
"2023-05-06","365"
"2023-10-16","364"
"2023-10-14","363"
"2023-05-13","363"
"2023-11-20","361"
"2023-08-31","361"
"2023-02-05","360"
"2023-04-07","360"
"2023-03-15","359"
"2023-06-01","359"
"2023-01-09","357"
"2023-02-17","356"
"2023-12-07","356"
"2023-11-01","356"
"2023-02-19","355"
"2023-08-05","355"
"2023-04-14","355"
"2023-03-04","355"
"2023-11-15","353"
"2023-01-19","353"
"2023-06-26","352"
"2023-03-22","352"
"2023-08-21","352"
"2023-06-18","351"
"2023-01-28","351"
"2023-04-29","351"
"2023-11-27","351"
"2023-10-08","350"
"2023-03-26","350"
"2023-09-17","350"
"2023-03-08","349"
"2023-03-25","348"
"2023-12-19","347"
"2023-04-15","347"
"2023-09-22","347"
"2023-01-20","345"
"2023-06-24","344"
"2023-06-20","344"
"2023-11-23","342"
"2023-08-08","342"
"2023-02-04","341"
"2023-04-01","340"
"2023-03-19","340"
"2023-10-19","338"
"2023-01-08","337"
"2023-05-04","337"
"2023-06-14","337"
"2023-02-08","337"
"2023-11-13","336"
"2023-02-15","336"
"2023-12-11","336"
"2023-06-22","336"
"2023-12-28","335"
"2023-07-14","334"
"2023-10-31","333"
"2023-05-07","330"
"2023-02-13","329"
"2023-08-02","329"
"2023-09-13","328"
"2023-07-03","327"
"2023-12-23","326"
"2023-06-16","326"
"2023-12-06","325"
"2023-09-20","325"
"2023-09-02","325"
"2023-12-03","323"
"2023-11-09","322"
"2023-03-14","320"
"2023-04-30","316"
"2023-10-02","312"
"2023-11-25","311"
"2023-05-08","303"
"2023-07-30","301"
"2023-11-24","300"
"2023-01-23","295"
"2023-11-10","295"
"2023-05-31","295"
"2023-12-18","293"
"2023-09-15","290"
"2023-09-11","290"
"2023-03-23","267"
"2023-01-27","261"
