"week_start","instances"
"2023-07-17 00:00:00-04","3099"
"2023-12-11 00:00:00-05","3046"
"2023-09-25 00:00:00-04","3024"
"2023-10-09 00:00:00-04","3015"
"2023-04-17 00:00:00-04","2998"
"2023-03-06 00:00:00-05","2989"
"2023-01-09 00:00:00-05","2977"
"2023-08-07 00:00:00-04","2927"
"2023-07-24 00:00:00-04","2924"
"2023-05-22 00:00:00-04","2913"
"2023-03-27 00:00:00-04","2911"
"2023-01-30 00:00:00-05","2903"
"2023-04-10 00:00:00-04","2902"
"2023-04-03 00:00:00-04","2902"
"2023-02-06 00:00:00-05","2897"
"2023-09-04 00:00:00-04","2871"
"2023-05-08 00:00:00-04","2871"
"2023-08-14 00:00:00-04","2859"
"2023-01-16 00:00:00-05","2853"
"2023-05-29 00:00:00-04","2848"
"2023-07-03 00:00:00-04","2833"
"2023-02-20 00:00:00-05","2826"
"2023-12-04 00:00:00-05","2822"
"2023-02-27 00:00:00-05","2818"
"2023-11-27 00:00:00-05","2812"
"2023-01-02 00:00:00-05","2811"
"2023-10-23 00:00:00-04","2810"
"2023-10-30 00:00:00-04","2803"
"2023-08-28 00:00:00-04","2799"
"2023-10-16 00:00:00-04","2792"
"2023-12-25 00:00:00-05","2791"
"2023-06-05 00:00:00-04","2790"
"2023-05-15 00:00:00-04","2788"
"2023-07-31 00:00:00-04","2773"
"2023-07-10 00:00:00-04","2755"
"2023-04-24 00:00:00-04","2744"
"2023-11-13 00:00:00-05","2742"
"2023-09-18 00:00:00-04","2737"
"2023-06-26 00:00:00-04","2730"
"2023-05-01 00:00:00-04","2729"
"2023-10-02 00:00:00-04","2718"
"2023-11-06 00:00:00-05","2711"
"2023-03-13 00:00:00-04","2706"
"2023-08-21 00:00:00-04","2696"
"2023-12-18 00:00:00-05","2684"
"2023-06-19 00:00:00-04","2680"
"2023-02-13 00:00:00-05","2678"
"2023-03-20 00:00:00-04","2648"
"2023-01-23 00:00:00-05","2645"
"2023-11-20 00:00:00-05","2589"
"2023-06-12 00:00:00-04","2581"
"2023-09-11 00:00:00-04","2566"
"2022-12-26 00:00:00-05","398"
