"topic","interactions"
"already_submitted_application","31941"
"any_other_enquires","26487"
"return_to_main_menu","17538"
"connection_with_agent","14311"
"how_to_check_the_status","10783"
"status_of_ticket_application","10501"
"how_to_complete_or_submit_an_application","10119"
"household_restrictions","5753"
"information_about_ticket_sales","5547"
"payment_methods","3825"
"cancellation_and_resale","3437"
"health_and_safety_measures","3311"
"fan_id","3303"
"legal_documents","3269"
"matches","3223"
"types_of_accessibility_tickets","1284"
"online_process","1274"
"the_personal_details","1272"
"other_information_for_the_process","1253"
"ticket_application_process","1245"
"ticket_products","940"
"ticket_categories","937"
"ticket_prices","923"
"sales_phases","904"
"confirmed_tickets","892"
