,1.Already Submitted Application,    1.1 Status of ticket application,1.1 Connection with Agent,   1.2 How to check the status,   0. Return to main menu,2. How to Complete or Submit an Application,   2.1 Ticket application process,         2.1.1 Online process,         2.1.2 Household restrictions,   2.2 Other information for the process,         2.2.1 The personal details,         2.2.2 Types of accessibility tickets,         2.2.3 Household restrictions,   0. Return to main menu,3. Information about Ticket Sales,   3.1 Ticket products,   3.2 Sales phases,   3.3 Ticket categories,   3.4 Ticket prices,   3.5 Confirmed tickets,   0. Return to main menu,4. Payment Methods,    4.1. Payment Methods,    0. Return to main menu,5. Any Other Enquires,   5.1 Cancellation and Resale,   5.2 Household restrictions,   5.3 Matches,   5.4 Legal documents,5.4 Connection with Agent,   5.5 Fan ID,   5.6 Health and Safety measures,   0. Return to main menu
1/1/2023,13,3,3,3,4,4,1,0,0,1,1,0,1,0,4,0,0,1,1,1,1,1,1,0,16,2,3,3,0,3,2,2,1
1/2/2023,17,4,4,5,4,6,1,1,0,0,1,1,1,1,4,1,0,1,0,1,1,0,0,0,11,1,1,3,0,1,2,1,2
1/3/2023,4,0,2,2,0,3,1,1,0,0,0,0,1,0,2,0,0,1,0,1,0,2,1,1,7,0,0,1,3,0,0,1,2
1/4/2023,8,1,2,0,5,5,1,1,0,1,1,1,0,0,2,1,0,0,1,0,0,2,1,1,15,3,2,1,3,0,3,3,0
1/5/2023,10,4,0,2,4,4,1,0,0,1,1,0,0,1,2,0,0,0,1,1,0,1,1,0,15,1,1,1,3,3,2,2,2
1/6/2023,11,5,0,2,4,6,1,0,1,1,1,1,0,1,3,1,1,1,0,0,0,0,0,0,14,0,1,2,3,1,1,3,3
1/7/2023,12,4,3,0,5,4,0,0,0,1,0,1,1,1,3,1,0,0,0,1,1,1,0,1,10,2,0,1,0,2,0,3,2
1/8/2023,13,0,5,5,3,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,9,2,0,3,3,1,0,0,0
1/9/2023,11,3,3,2,3,3,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,18,1,3,3,3,3,2,2,1
1/10/2023,18,3,5,5,5,4,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,15,2,3,2,0,1,3,3,1
1/11/2023,10,0,3,4,3,4,0,0,1,1,1,1,0,0,3,0,1,0,1,0,1,1,1,0,9,0,1,1,0,0,3,1,3
1/12/2023,8,3,0,1,4,1,0,0,0,1,0,0,0,0,3,0,1,1,0,0,1,0,0,0,18,3,3,3,2,1,3,2,1
1/13/2023,9,1,5,2,1,4,1,0,0,1,1,0,1,0,2,0,0,1,0,1,0,1,0,1,20,3,2,3,3,3,1,2,3
1/14/2023,5,0,3,0,2,2,0,0,0,0,0,0,1,1,5,1,1,1,1,0,1,2,1,1,7,0,2,2,0,1,1,0,1
1/15/2023,14,5,0,4,5,4,0,0,0,1,1,1,1,0,2,1,0,0,0,0,1,0,0,0,13,3,3,1,2,1,3,0,0
1/16/2023,8,2,2,3,1,4,0,1,0,0,1,0,1,1,3,1,0,1,1,0,0,1,1,0,13,2,0,2,1,3,1,2,2
1/17/2023,15,5,2,3,5,3,0,1,1,0,0,0,1,0,4,0,0,1,1,1,1,2,1,1,12,3,2,0,2,2,1,1,1
1/18/2023,10,2,2,4,2,6,1,1,1,1,1,1,0,0,3,0,1,1,0,0,1,1,1,0,17,0,3,2,3,3,3,0,3
1/19/2023,10,4,0,1,5,6,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,10,3,1,1,2,1,0,2,0
1/20/2023,4,0,0,1,3,4,1,1,1,0,0,0,0,1,4,1,1,1,0,0,1,0,0,0,17,2,3,2,3,1,3,0,3
1/21/2023,14,5,2,5,2,4,0,1,1,1,1,0,0,0,5,1,0,1,1,1,1,0,0,0,11,0,2,2,3,1,0,2,1
1/22/2023,12,5,0,5,2,3,0,0,1,0,1,0,1,0,2,0,0,1,0,1,0,2,1,1,8,3,0,1,0,0,2,0,2
1/23/2023,12,5,0,2,5,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,1,1,16,0,3,3,2,3,1,2,2
1/24/2023,13,3,0,5,5,5,1,1,0,0,1,1,1,0,3,0,1,1,1,0,0,0,0,0,10,1,1,0,2,2,1,0,3
1/25/2023,12,4,5,3,0,6,1,1,0,1,1,1,1,0,4,0,1,1,0,1,1,1,1,0,15,3,0,3,3,0,1,3,2
1/26/2023,12,2,2,5,3,2,0,0,0,1,1,0,0,0,2,0,0,1,1,0,0,1,0,1,10,1,0,0,1,1,3,1,3
1/27/2023,13,4,3,5,1,2,1,0,0,0,0,0,1,0,4,1,1,1,0,1,0,2,1,1,8,0,0,1,2,0,2,1,2
1/28/2023,9,1,1,4,3,6,0,1,1,1,1,1,1,0,3,0,0,0,1,1,1,0,0,0,19,2,3,3,3,3,2,1,2
1/29/2023,11,2,3,2,4,3,0,1,0,1,0,0,1,0,3,1,0,1,0,1,0,1,0,1,14,2,3,2,1,1,2,0,3
1/30/2023,9,0,5,2,2,5,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,12,0,0,3,3,1,2,3,0
1/31/2023,6,1,4,0,1,6,1,0,1,1,1,1,0,1,2,1,1,0,0,0,0,2,1,1,9,3,0,1,2,2,0,1,0
2/1/2023,16,2,5,5,4,7,1,1,0,1,1,1,1,1,4,0,1,0,1,1,1,0,0,0,13,0,0,1,3,1,2,3,3
2/2/2023,9,3,0,4,2,4,1,0,0,0,1,1,1,0,2,1,1,0,0,0,0,1,1,0,17,3,0,3,3,0,3,3,2
2/3/2023,9,1,3,3,2,4,0,0,1,0,1,1,0,1,5,1,0,1,1,1,1,1,0,1,12,2,2,3,1,0,1,1,2
2/4/2023,11,1,3,3,4,4,1,1,1,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,13,2,2,1,3,1,0,1,3
2/5/2023,10,1,5,4,0,2,0,1,0,0,0,0,0,1,4,1,0,1,1,1,0,2,1,1,15,3,0,3,1,3,3,2,0
2/6/2023,8,4,2,0,2,5,0,0,1,1,1,0,1,1,4,1,1,1,0,1,0,0,0,0,10,2,1,0,2,2,1,2,0
2/7/2023,7,1,1,2,3,6,1,1,1,1,1,0,1,0,4,1,1,0,0,1,1,1,0,1,11,1,0,3,3,0,0,3,1
2/8/2023,7,5,2,0,0,4,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,7,0,0,2,1,2,1,0,1
2/9/2023,13,5,5,2,1,4,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,2,1,1,10,1,2,3,0,0,1,0,3
2/10/2023,7,2,1,2,2,5,1,0,1,0,1,0,1,1,3,0,1,0,1,0,1,1,0,1,9,0,0,0,2,2,3,1,1
2/11/2023,10,3,3,1,3,5,1,1,1,1,1,0,0,0,5,1,1,1,1,0,1,1,1,0,11,2,0,1,3,1,2,1,1
2/12/2023,16,3,3,5,5,5,1,1,1,0,0,0,1,1,4,0,1,1,0,1,1,0,0,0,13,1,0,2,0,1,3,3,3
2/13/2023,3,0,1,2,0,3,0,0,1,1,0,0,0,1,5,1,1,0,1,1,1,2,1,1,13,0,2,2,1,3,3,2,0
2/14/2023,8,0,0,5,3,5,1,1,1,1,1,0,0,0,3,0,1,1,1,0,0,2,1,1,14,2,3,1,2,1,2,3,0
2/15/2023,2,1,1,0,0,4,1,0,0,1,0,0,1,1,4,1,1,0,1,0,1,2,1,1,12,0,0,3,3,0,1,2,3
2/16/2023,4,0,0,2,2,6,1,0,0,1,1,1,1,1,4,1,1,0,0,1,1,0,0,0,12,1,0,1,3,0,3,1,3
2/17/2023,6,0,1,4,1,3,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,15,1,3,1,1,2,2,3,2
2/18/2023,14,2,4,4,4,7,1,1,1,1,1,1,1,0,3,0,1,1,1,0,0,1,0,1,18,3,3,2,0,3,2,3,2
2/19/2023,12,5,2,2,3,3,1,0,0,0,0,1,0,1,2,0,1,1,0,0,0,2,1,1,8,3,2,1,0,0,1,0,1
2/20/2023,15,5,2,4,4,2,0,1,1,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,13,3,0,0,1,1,3,2,3
2/21/2023,11,2,3,1,5,4,0,1,0,0,1,1,1,0,4,0,1,1,0,1,1,2,1,1,15,1,2,3,3,1,2,1,2
2/22/2023,12,5,2,0,5,5,1,1,1,0,1,0,0,1,4,1,1,0,1,0,1,2,1,1,15,0,1,0,2,3,3,3,3
2/23/2023,7,0,1,1,5,6,0,1,1,1,1,1,0,1,5,0,1,1,1,1,1,1,1,0,9,2,0,3,1,3,0,0,0
2/24/2023,4,1,0,1,2,4,0,0,1,1,1,0,0,1,3,1,1,0,1,0,0,1,1,0,12,0,2,2,2,3,1,2,0
2/25/2023,11,5,5,0,1,5,1,0,1,0,0,1,1,1,5,1,1,1,1,0,1,1,1,0,15,2,2,1,2,3,2,1,2
2/26/2023,14,1,5,5,3,5,0,1,1,1,1,0,1,0,4,1,1,1,1,0,0,0,0,0,12,0,2,0,0,3,2,3,2
2/27/2023,9,2,5,1,1,3,0,1,1,0,0,1,0,0,3,0,0,1,1,1,0,1,1,0,11,2,1,1,3,1,0,0,3
