date,inbound_calls_in_ivr,abandoned_calls_in_ivr,already_submitted_application,status_of_ticket_application,connection_with_agent,how_to_check_the_status,return_to_main_menu,how_to_complete_or_submit_an_application,ticket_application_process,online_process,household_restrictions,other_information_for_the_process,the_personal_details,types_of_accessibility_tickets,household_restrictions_2,return_to_main_menu_2,information_about_ticket_sales,ticket_products,sales_phases,ticket_categories,ticket_prices,confirmed_tickets,return_to_main_menu_3,payment_methods,payment_methods_2,return_to_main_menu_4,any_other_enquires,cancellation_and_resale,household_restrictions_3,matches,legal_documents,connection_with_agent_2,fan_id,health_and_safety_measures,return_to_main_menu_5
2023-01-01,181,7,90,34,17,17,39,26,4,2,4,3,4,3,6,0,11,2,1,2,3,2,1,8,3,5,80,15,13,17,9,8,4,10,4
2023-01-02,176,3,97,9,10,45,43,29,3,3,4,5,5,2,3,4,11,2,1,3,0,2,3,4,3,1,75,9,13,8,13,10,10,6,6
2023-01-03,171,6,84,49,39,10,25,28,2,2,3,5,4,5,3,4,21,4,3,5,2,3,4,7,4,3,67,12,3,5,5,13,5,9,15
2023-01-04,209,11,106,12,49,44,50,29,3,4,5,3,2,5,3,4,20,3,4,1,5,4,3,10,5,5,94,15,15,12,14,6,7,16,9
2023-01-05,162,23,70,28,23,12,30,27,5,3,3,2,5,0,3,6,18,2,2,4,5,3,2,5,1,4,83,10,14,4,13,6,11,9,16
2023-01-06,178,3,117,18,33,54,45,30,5,2,2,3,4,7,2,5,12,2,1,2,4,1,2,4,3,1,60,2,2,6,14,13,4,7,12
2023-01-07,170,9,92,8,44,44,40,30,5,4,4,3,2,7,3,2,12,2,1,1,3,2,3,4,1,3,70,10,14,3,5,13,13,6,6
2023-01-08,150,15,63,14,19,28,21,25,3,2,1,2,5,2,5,5,10,1,0,2,3,1,3,7,3,4,77,6,14,11,12,9,2,10,13
2023-01-09,147,9,44,8,51,23,13,29,4,3,4,4,3,4,5,2,10,4,1,2,0,2,1,5,5,0,79,2,15,11,14,5,12,8,12
2023-01-10,182,5,105,47,53,32,26,24,3,4,3,2,2,2,3,5,14,2,3,1,3,4,1,8,5,3,61,4,8,2,11,12,7,9,8
2023-01-11,199,4,135,38,28,46,51,28,1,4,4,3,6,4,4,2,13,3,1,1,5,2,1,8,5,3,67,5,7,12,9,3,8,5,18
2023-01-12,209,6,111,45,29,31,35,24,1,3,3,6,1,4,1,5,13,2,2,5,3,0,1,7,4,3,92,15,14,11,7,11,12,11,11
2023-01-13,185,46,73,27,22,40,6,27,2,3,2,6,4,2,4,4,13,1,0,4,3,4,1,4,2,2,80,8,13,7,16,8,13,11,4
2023-01-14,197,5,113,44,17,42,27,24,6,3,2,2,3,1,1,6,17,5,4,3,4,0,1,9,5,4,67,9,6,9,5,15,8,6,9
2023-01-15,191,4,114,45,22,19,50,29,1,3,3,4,3,5,7,3,20,5,0,3,3,4,5,8,4,4,73,12,9,3,6,9,14,6,14
2023-01-16,176,7,98,31,28,25,42,22,5,4,2,2,2,1,3,3,16,1,3,5,2,4,1,11,5,6,71,6,12,8,5,17,6,9,8
2023-01-17,192,8,99,13,12,54,32,25,2,6,3,2,4,2,4,2,12,3,0,4,2,1,2,9,3,6,85,15,14,6,9,13,6,10,12
2023-01-18,222,8,132,49,27,44,39,31,5,2,3,5,6,5,4,1,13,3,2,4,2,0,2,7,2,5,81,4,12,12,6,12,14,8,13
2023-01-19,152,3,40,6,34,15,19,36,4,6,6,2,6,4,4,4,21,4,3,4,3,3,4,4,2,2,78,14,7,10,11,9,10,7,10
2023-01-20,142,6,58,18,44,15,25,30,5,5,3,2,3,5,4,3,19,5,5,4,2,1,2,8,5,3,56,4,8,9,5,3,14,5,8
2023-01-21,158,4,79,18,47,24,37,27,2,6,2,3,4,2,4,4,16,4,4,1,1,4,2,5,3,2,74,6,12,5,9,4,9,13,16
2023-01-22,205,4,121,50,20,47,24,31,4,4,5,3,4,5,4,2,12,2,3,1,1,1,4,14,7,7,62,14,3,8,7,4,3,10,13
2023-01-23,129,9,43,14,21,6,23,20,2,1,5,4,2,3,2,1,8,0,0,2,1,2,3,10,5,5,75,13,10,7,4,11,11,13,6
2023-01-24,175,3,84,40,14,25,19,29,5,5,1,4,4,4,2,4,16,1,2,4,5,0,4,8,5,3,70,13,9,3,10,13,4,2,16
2023-01-25,163,18,83,30,55,17,36,34,6,5,2,6,3,6,2,4,22,0,3,5,4,5,5,6,2,4,58,5,11,3,11,5,9,6,8
2023-01-26,236,4,138,38,16,56,44,25,4,4,2,3,4,3,2,3,14,0,4,4,3,0,3,9,2,7,99,14,12,6,15,9,15,15,13
2023-01-27,117,2,44,12,10,7,25,24,3,4,2,3,2,3,2,5,10,2,2,3,0,3,0,9,5,4,59,9,8,12,8,3,2,10,7
2023-01-28,151,3,28,8,36,9,11,26,5,3,4,3,3,4,3,1,21,4,0,3,4,5,5,5,2,3,94,10,12,16,14,7,13,9,13
2023-01-29,193,18,88,25,34,41,22,30,2,4,5,3,4,2,6,4,15,5,0,4,1,5,0,6,3,3,81,15,4,10,11,8,12,12,9
2023-01-30,184,92,99,28,37,35,36,27,7,2,2,4,1,2,7,2,15,4,3,1,3,1,3,3,2,1,74,9,2,12,17,11,5,12,6
2023-01-31,187,16,112,51,30,10,51,27,4,2,5,3,4,2,2,5,21,5,5,4,2,3,2,7,4,3,69,17,3,7,15,5,3,10,9
2023-02-01,204,34,109,33,11,47,29,29,3,4,3,3,4,5,4,3,14,0,1,4,1,3,5,9,3,6,77,13,11,5,17,8,4,13,6
2023-02-02,208,7,113,38,8,34,41,26,3,4,4,2,4,3,3,3,17,2,1,4,4,4,2,10,6,4,81,12,0,15,14,9,13,12,6
2023-02-03,193,5,110,31,48,31,48,30,3,4,5,3,4,6,2,3,14,2,2,4,1,2,3,8,3,5,79,13,12,7,12,7,12,6,10
2023-02-04,152,15,91,14,9,30,47,25,4,5,4,0,4,3,2,3,14,3,0,3,0,5,3,6,3,3,66,7,15,5,15,4,1,3,16
2023-02-05,151,3,47,9,38,14,24,22,1,6,3,1,1,5,3,2,14,2,0,1,3,4,4,8,4,4,94,18,4,11,4,14,16,13,14
2023-02-06,191,4,108,15,8,49,44,29,1,5,4,4,4,4,2,5,18,5,4,2,4,1,2,9,5,4,68,4,4,7,16,12,10,11,4
2023-02-07,196,7,90,24,32,27,39,24,3,3,2,4,5,3,4,0,16,1,1,3,3,5,3,5,1,4,98,5,14,16,17,12,13,14,7
2023-02-08,152,4,52,8,22,32,12,29,3,3,6,5,3,2,2,5,14,4,0,0,2,4,4,7,2,5,70,2,12,6,14,7,13,13,3
2023-02-09,170,11,73,47,40,6,20,35,5,5,3,4,4,6,4,4,14,3,2,4,4,0,1,10,6,4,67,4,11,5,5,13,14,2,13
2023-02-10,208,7,101,46,19,40,15,35,6,3,4,5,6,4,5,2,17,0,5,1,2,4,5,7,3,4,74,2,4,1,16,17,14,9,11
